Issue Type,Summary,Description,Priority,Story Points,Labels
Epic,E01 Platform Foundation,"Setup baseline platform for consignment module services",Highest,,consignment,sprint1
Epic,E02 Master Data Sync,"Implement ACMM to Consignment master data synchronization",Highest,,consignment,sprint1
Epic,E03 Consignment Item Supplier Setup,"Implement item-supplier setup with critical business rules",Highest,,consignment,sprint1
Story,T001 Service boundaries and package conventions,"Define module boundaries and package structure for gateway and consignment-service",High,3,consignment;sprint1;foundation
Story,T002 Environment profiles,"Configure dev/sit/uat/prod application profiles",High,3,consignment;sprint1;foundation
Story,T003 PostgreSQL datasource baseline,"Add PostgreSQL datasource configuration and placeholders",High,3,consignment;sprint1;foundation
Story,T005 MyBatis baseline,"Add MyBatis dependency and base mapper scan configuration",High,3,consignment;sprint1;foundation
Story,T006 API response and exception standard,"Implement shared API response format and centralized exception handling",High,5,consignment;sprint1;foundation
Story,T007 JWT role scaffolding,"Add security baseline and role scaffolding for future RBAC",Medium,5,consignment;sprint1;security
Story,T009 Correlation ID filter,"Implement request correlation id propagation in gateway and consignment-service",High,3,consignment;sprint1;foundation
Story,T011 Item master sync,"Implement item master sync endpoint and in-memory upsert",High,5,consignment;sprint1;master-sync
Story,T012 Supplier master sync,"Implement supplier master sync endpoint and in-memory upsert",High,3,consignment;sprint1;master-sync
Story,T013 Supplier contract sync,"Implement supplier contract sync endpoint and in-memory upsert",High,3,consignment;sprint1;master-sync
Story,T014 Company master sync,"Implement company master sync endpoint and in-memory upsert",Medium,2,consignment;sprint1;master-sync
Story,T015 Store master sync,"Implement store master sync endpoint and in-memory upsert",Medium,2,consignment;sprint1;master-sync
Story,T016 Customer master sync,"Implement customer master sync endpoint and in-memory upsert",Medium,2,consignment;sprint1;master-sync
Story,T017 Reason list sync,"Implement reason list sync endpoint and in-memory upsert",Medium,2,consignment;sprint1;master-sync
Story,T021 Setup schema and service baseline,"Implement in-memory setup aggregate and services for item supplier setup",High,5,consignment;sprint1;setup
Story,T022 GET setup items,"Implement GET /api/consignment-setup/items",High,2,consignment;sprint1;setup
Story,T023 GET setup by item,"Implement GET /api/consignment-setup/item/{itemCode}",High,2,consignment;sprint1;setup
Story,T024 POST external supplier setup,"Implement POST external supplier setup endpoint",High,3,consignment;sprint1;setup
Story,T025 PUT external supplier setup,"Implement PUT external supplier setup endpoint with inventory-zero validation",High,5,consignment;sprint1;setup
Story,T026 DELETE external supplier setup,"Implement DELETE external supplier setup endpoint",High,3,consignment;sprint1;setup
Story,T027 POST internal supplier setup,"Implement POST internal supplier setup endpoint",High,3,consignment;sprint1;setup
Story,T028 Rule 1 store 1 supplier,"Enforce one-store-one-supplier-per-item business rule",Highest,5,consignment;sprint1;setup;rule
Story,T029 Rule external/internal mutual exclusion,"Disallow same item-store in both external and internal setup",Highest,5,consignment;sprint1;setup;rule
Story,T030 Rule external supplier type,"Validate external supplier type must be External",High,2,consignment;sprint1;setup;rule
Story,T031 Rule internal hierarchy,"Validate internal supplier store belongs to external consignee hierarchy",High,5,consignment;sprint1;setup;rule
Task,T010 CI pipeline placeholder,"Document CI requirements and add placeholder task note",Medium,1,consignment;sprint1;foundation
